"partido","bls9","bls9_se","proxy"
"CIDADANIA",-0.014,0.037,
"MDB",0.137,0.037,
"NOVO",0.711,0.041,
"PC do B",-0.822,0.101,
"PDT",-0.356,0.038,
"PL",0.493,0.039,
"PODE",0.386,0.039,
"PP",0.51,0.04,
"PSB",-0.427,0.038,
"PSD",0.296,0.037,
"PSDB",0.157,0.037,
"PSOL",-0.874,0.045,
"PT",-0.691,0.042,
"REPUBLICANOS",0.55,0.04,
"SOLIDARIEDADE",0.19,0.064,
"UNIÃO",0.66,,"imputado pelos autores (média ponderada DEM 0,43 + PSL 0,80; União não existia no campo 2021)"
"PRD",0.455,0.039,"proxy: PTB (fundiu-se no PRD em 2023; Patriota não avaliado)"
