"partido","bolognesi22","proxy"
"PSTU",0.51,
"UP",1.63,
"PCB",0.69,
"PSOL",1.41,
"PT",2.68,
"REDE",3.69,
"PC do B",1.78,
"PV",4.12,
"PSB",3.59,
"PDT",3.86,
"AVANTE",6.47,
"PSD",6.94,
"MDB",6.5,
"SOLIDARIEDADE",6.73,"média Solidariedade 6,01 + PROS 7,45 (PROS só se incorporou ao Solidariedade em fev/2023, depois do campo)"
"MOBILIZA",6.74,
"PP",8.15,
"AGIR",7.55,
"REPUBLICANOS",8.33,
"PRD",8.16,"média Patriota 8,60 + PTB 7,72 (fundiram-se no PRD em set/2023, depois do campo)"
"PODE",7.93,"média Podemos 7,44 + PSC 8,41 (PSC só se incorporou ao Podemos em jun/2023, depois do campo)"
"PMB",7.29,
"CIDADANIA",6.17,
"DC",8.21,
"UNIÃO",8.49,
"PSDB",6.76,
"PRTB",7.49,
"PL",8.8,
"NOVO",8.67,
