"partido","migracao","frentes","coligacao","votacao","doacoes","z_migracao","z_frentes","z_coligacao","z_votacao","z_doacoes","migracao_rank","frentes_rank","coligacao_rank","votacao_rank","doacoes_rank","media_rank","n_dimensoes","media_z","z_rob_migracao","z_rob_coligacao","z_rob_doacoes","media_z_rob","cluster","familia","label"
"PSTU",NA,NA,-6.3002,NA,-3.7721,NA,NA,-2.6742,NA,-2.6106,NA,NA,1,NA,1,1,2,-2.6424,NA,-2.2736,-2.437,-2.3553,1,"esquerda","esquerda_1"
"UP",NA,NA,-5.6427,NA,-2.9073,NA,NA,-2.3666,NA,-1.8875,NA,NA,4.6667,NA,4.6667,4.6667,2,-2.127,NA,-2.2736,-2.437,-2.3553,1,"esquerda","esquerda_1"
"PCB",NA,NA,-5.3527,NA,-2.7403,NA,NA,-2.2309,NA,-1.7479,NA,NA,8.3333,NA,8.3333,8.3333,2,-1.9894,NA,-2.2736,-2.437,-2.3553,2,"esquerda","esquerda_2"
"PSOL",-4.6688,-2.3483,-2.7891,-1.0449,-2.3824,-2.5069,-2.0041,-1.0315,-0.8389,-1.4486,4.96,1,12,21.8421,12,10.3604,5,-1.566,-3.0253,-2.2736,-2.437,-2.1158,2,"esquerda","esquerda_2"
"PT",-3.6204,-1.9519,-1.6701,-1.5574,-2.2218,-1.8762,-1.6211,-0.508,-1.4628,-1.3144,8.92,11.4211,19.3333,1,15.6667,11.2682,5,-1.3565,-2.2962,-1.3327,-2.2543,-1.7934,2,"esquerda","esquerda_2"
"PC do B",-4.9525,-1.9066,-1.6701,-1.3719,-1.7604,-2.6776,-1.5774,-0.508,-1.2369,-0.9285,1,16.6316,19.3333,6.2105,19.3333,12.5018,5,-1.3857,-3.0253,-1.3327,-1.7292,-1.7803,2,"esquerda","esquerda_2"
"REDE",-2.536,-1.9938,-2.7891,-1.2387,-1.4077,-1.2238,-1.6616,-1.0315,-1.0748,-0.6337,12.88,6.2105,12,11.4211,23,13.1023,5,-1.1251,-1.5419,-2.2736,-1.3279,-1.576,2,"esquerda","esquerda_2"
"PV",-1.6007,-0.7098,-1.6701,-1.1107,-0.9442,-0.6611,-0.4211,-0.508,-0.919,-0.2461,16.84,21.8421,19.3333,16.6316,30.3333,20.9961,5,-0.551,-0.8914,-1.3327,-0.8004,-0.8729,3,"esquerda","esquerda_3"
"PSB",-1.3377,-0.5547,-0.1686,-0.8023,-1.0061,-0.5028,-0.2713,0.1945,-0.5435,-0.2978,20.8,27.0526,30.3333,27.0526,26.6667,26.3811,5,-0.2842,-0.7085,-0.0702,-0.8708,-0.4928,3,"esquerda","esquerda_3"
"PDT",-0.9471,-0.4233,-0.0032,-0.7464,-0.5836,-0.2678,-0.1444,0.2719,-0.4753,0.0555,24.76,37.4737,34,32.2632,34,32.4994,5,-0.112,-0.4368,0.069,-0.39,-0.2755,3,"esquerda","esquerda_3"
"MDB",-0.0852,0.1863,0.2718,-0.3017,-0.2003,0.2507,0.4446,0.4005,0.0661,0.3759,32.68,58.3158,37.6667,47.8947,41.3333,43.5781,5,0.3076,0.1627,0.3002,0.0461,0.2039,4,"centro","centro_1"
"PSD",0.0474,0.0375,0.3095,-0.2863,-0.224,0.3305,0.3009,0.4181,0.0849,0.3561,44.56,42.6842,41.3333,53.1053,37.6667,43.8699,5,0.2981,0.2549,0.3319,0.0191,0.1983,4,"centro","centro_1"
"AVANTE",0.1345,-0.4796,0.4518,-0.4116,-0.1852,0.3829,-0.1987,0.4847,-0.0677,0.3885,56.44,32.2632,48.6667,37.4737,45,43.9687,5,0.1979,0.3155,0.4515,0.0632,0.1127,4,"centro","centro_1"
"SOLIDARIEDADE",-0.0094,0.0469,0.3442,-0.2591,-0.1805,0.2963,0.31,0.4344,0.1179,0.3925,36.64,47.8947,45,58.3158,52.3333,48.0368,5,0.3102,0.2154,0.3611,0.0686,0.2146,5,"centro","centro_2"
"AGIR",-0.0061,NA,0.5648,NA,-0.1767,0.2983,NA,0.5376,NA,0.3957,40.6,NA,63.3333,NA,56,53.3111,3,0.4105,0.2177,0.5465,0.073,0.2791,6,"centro","centro_3"
"MOBILIZA",0.0649,NA,0.5617,NA,-0.1364,0.341,NA,0.5361,NA,0.4294,48.52,NA,59.6667,NA,59.6667,55.9511,3,0.4355,0.2671,0.5439,0.1189,0.31,6,"centro","centro_3"
"PP",0.2722,0.3506,0.5203,-0.1629,-0.0466,0.4657,0.6033,0.5168,0.2351,0.5044,60.4,73.9474,52.3333,73.9474,67,65.5256,5,0.4651,0.4112,0.5092,0.2209,0.3959,7,"direita","direita_1"
"CIDADANIA",-0.1418,0.3779,0.7995,0.0168,-0.182,0.2167,0.6297,0.6474,0.4539,0.3912,28.72,84.3684,85.3333,89.5789,48.6667,67.3335,5,0.4678,0.1233,0.7439,0.0669,0.4035,7,"direita","direita_1"
"PRD",0.6596,0.1829,0.7134,-0.389,0.1173,0.6988,0.4413,0.6071,-0.0402,0.6415,84.16,53.1053,78,42.6842,81.6667,67.9232,5,0.4697,0.6807,0.6715,0.4075,0.4322,7,"direita","direita_1"
"REPUBLICANOS",0.4305,0.3269,0.5325,-0.1732,-0.0142,0.561,0.5804,0.5225,0.2226,0.5315,76.24,68.7368,56,68.7368,74.3333,68.8094,5,0.4836,0.5214,0.5194,0.2578,0.4203,7,"direita","direita_1"
"PODE",0.4245,0.2124,0.5861,-0.1873,0.0373,0.5574,0.4698,0.5476,0.2054,0.5746,72.28,63.5263,67,63.5263,78,68.8665,5,0.471,0.5171,0.5645,0.3164,0.4147,7,"direita","direita_1"
"UNIÃO",0.3666,0.3512,0.6012,-0.156,-0.0173,0.5225,0.6039,0.5546,0.2435,0.5289,68.32,79.1579,70.6667,79.1579,70.6667,73.5938,5,0.4907,0.4769,0.5771,0.2543,0.4312,8,"direita","direita_2"
"PSDB",0.1201,0.4049,0.7995,-0.1506,-0.1105,0.3743,0.6557,0.6474,0.2501,0.451,52.48,89.5789,85.3333,84.3684,63.3333,75.0188,5,0.4757,0.3055,0.7439,0.1482,0.4207,8,"direita","direita_2"
"PMB",0.3637,NA,0.6376,NA,0.75,0.5208,NA,0.5716,NA,1.1705,64.36,NA,74.3333,NA,92.6667,77.12,3,0.7543,0.4749,0.6078,1.1274,0.7367,8,"direita","direita_2"
"DC",0.4914,NA,0.7422,NA,0.1644,0.5976,NA,0.6206,NA,0.6809,80.2,NA,81.6667,NA,85.3333,82.4,3,0.633,0.5637,0.6958,0.4611,0.5735,8,"direita","direita_2"
"MISSÃO",0.841,NA,NA,NA,NA,0.808,NA,NA,NA,NA,92.08,NA,NA,NA,NA,92.08,1,0.808,0.8068,NA,NA,0.8068,9,"direita","direita_3"
"PRTB",0.7583,NA,0.8586,NA,0.8829,0.7582,NA,0.675,NA,1.2817,88.12,NA,92.6667,NA,100,93.5956,3,0.905,0.7493,0.7936,1.2788,0.9405,9,"direita","direita_3"
"PL",0.8888,1.123,1.0871,1.3628,0.7764,0.8367,1.3495,0.782,2.0928,1.1926,96.04,94.7895,96.3333,94.7895,96.3333,95.6571,5,1.2507,0.8401,0.9858,1.1575,1.2851,9,"direita","direita_3"
"NOVO",0.9917,1.2898,1.314,1.8506,0.2742,0.8986,1.5107,0.8881,2.6868,0.7727,100,100,100,100,89,97.8,5,1.3514,0.9116,0.9858,0.5861,1.3362,9,"direita","direita_3"
